"","Obs","Pow","Multi","Power_weight","rows","Lee_Pow","Lee_Mult","Best_mod","Best","LEE_Best","Best_pred","Best_pred2"
"107",73,62.4963767359517,45.3245972403583,0.0407551399638251,41,-0.067468020523515,-0.206988906527032,"logistic",41.5104006340305,-0.245165935166194,1,1
"108",9,4.08649301762388,3.96008203044682,0.120148015506704,13,-0.342891748240057,-0.356538327301332,"negexpo",3.86514067413861,-0.367077204486312,1,1
"109",5,9.04255387122162,4.9834765073851,0.0974106351575192,41,0.25732110042466,-0.00143758904257318,"koba",5.7952683414787,0.064103545804033,0,2
"110",7,8.7257988188555,19.0087114793612,0.0824668449987216,20,0.0957071557018518,0.433854638851755,"p2",19.6772502288467,0.448866368416626,1,1
"111",69,88.3958530209888,79.8625449024406,0.211965913417324,14,0.107582800380495,0.0634940545835851,"logistic",71.7795093891606,0.0171513948800759,0,3
"112",58,62.5167505508127,58.687781253903,0.179205022061615,27,0.0325684029351034,0.00511969735460371,"ratio",49.5260664618283,-0.0685941574391675,0,2
"113",49,36.9434130973871,37.5482690827213,0.293068668996939,6,-0.1226590638326,-0.115606158532515,"loga",36.6496212018695,-0.126126589749538,0,2
"114",36,36.5833341120158,36.0172855569862,0.315731890321631,7,0.00698078267124158,0.000208478342437424,"power",36.5833341120158,0.00698078267124158,0,2
"115",24,27.1061214743949,25.9771047148749,0.144913422695569,22,0.0528561385479018,0.0343795033155099,"loga",26.6944032970747,0.0462089757586244,0,2
"116",109,95.5746973443276,109.490455789173,0.120932871340976,20,-0.0570835665244369,0.0019497657218186,"linear",139.062515667637,0.105783583650688,0,2
"117",23,28.136461877391,24.453694893567,0.164552072113398,20,0.0875416485618292,0.026616653235513,"power",28.136461877391,0.0875416485618292,0,2
"118",20,13.4826385938705,25.7112008294474,0.170214322071229,8,-0.171255102380114,0.109092364970478,"loga",12.9124235095439,-0.190022233797012,0,2
"119",9,9.88497550113682,10.4562942616336,0.187240700939645,12,0.0407330878588966,0.0651352872453917,"linear",13.0404691652127,0.161050707125104,1,1
"120",33,31.9223315478758,33.8804779212385,0.133014163059436,19,-0.0144193359774722,0.011435588023188,"linear",39.1238999076045,0.0739281992830376,0,2
